Supplier Name,Region,Country,Function,Service,Avg. Cost($),Rating,Average Delivery Time (days),Number of Escalations,Year,Resources,Delivery Frequency,Lead Time (days),Total Shipments,On-Time Delivery Rate (%),Customer Satisfaction Score,Return Rate (%),Contract Duration (months),Geographical Coverage,Technology Used
Capgemini,North America,New Zealand,IT & Infrastructure,Mainframe services,150k,72,30,47,2018,5533,Daily,20,822,62,6,20,20,Local,Blockchain
Capgemini,Europe,Central African Republic,HR,Mainframe services,150k,83,24,25,2014,2832,Daily,20,1332,76,7,20,35,International,Blockchain
Genpact,North America,Canada,IT & Infrastructure,Applications Development & Maintenance,150k,71,15,28,2017,6974,Monthly,5,753,79,7,20,29,National,IoT Sensors
Capgemini,Europe,Uganda,HR,Applications Development & Maintenance,150k,74,20,13,2016,3662,Monthly,6,3000,84,10,16,23,National,IoT Sensors
Genpact,Europe,Zambia,IT & Infrastructure,Applications Development,100k,82,7,4,2014,8711,Daily,3,3744,95,10,5,16,Local,RFID
Genpact,North America,Tokelau,Consulting,Service Desk,100k,78,18,17,2014,5573,Weekly,9,5853,83,10,17,12,International,GPS Tracking
IBM,APAC,Switzerland,HR,Service Desk,100k,100,20,10,2017,1626,Monthly,13,1876,85,10,15,13,International,GPS Tracking
Infosys,North America,Colombia,HR,Service Desk,100k,76,21,29,2017,1727,Weekly,10,7244,76,7,20,20,Local,GPS Tracking
IBM,Europe,Marshall Islands,IT & Infrastructure,Applications Development & Maintenance,150k,93,11,20,2017,9308,Weekly,8,5167,85,10,15,31,International,IoT Sensors
Genpact,North America,Mali,HR,Service Desk,100k,100,19,27,2018,3851,Weekly,11,9424,78,7,20,14,National,GPS Tracking
Capgemini,Europe,Vanuatu,HR,Service Desk,100k,90,19,19,2017,8618,Monthly,5,7338,82,9,18,15,National,GPS Tracking
IBM,APAC,Azerbaijan,IT & Infrastructure,Applications Development & Maintenance,150k,91,12,12,2017,4680,Monthly,8,3362,88,10,12,21,Local,IoT Sensors
Infosys,North America,Burkina Faso,Consulting,Applications Development,100k,98,8,10,2016,7291,Daily,2,8199,91,10,9,24,National,RFID
Capgemini,APAC,Myanmar,IT & Infrastructure,Applications Development & Maintenance,150k,95,10,13,2018,1822,Daily,10,9232,89,10,11,36,Local,IoT Sensors
IBM,North America,Haiti,HR,Applications Development,100k,96,8,9,2018,9976,Weekly,2,7405,92,10,8,20,Local,RFID
Capgemini,Europe,Bhutan,IT & Infrastructure,Service Desk,100k,78,18,30,2018,2269,Weekly,9,4781,76,7,20,16,Local,GPS Tracking
Genpact,APAC,Anguilla,Consulting,Mainframe services,150k,92,28,22,2016,4505,Weekly,15,1152,75,7,20,16,National,Blockchain
Genpact,North America,Bermuda,Consulting,Service Desk,100k,98,22,23,2014,7232,Weekly,13,7914,78,7,20,12,Local,GPS Tracking
Genpact,North America,New Caledonia,IT & Infrastructure,Mainframe services,150k,78,26,37,2018,8956,Weekly,16,575,69,6,20,35,National,Blockchain
Capgemini,APAC,China,HR,Mainframe services,150k,87,26,43,2014,7455,Monthly,20,9797,66,6,20,17,International,Blockchain
Infosys,North America,Egypt,Consulting,Applications Development,100k,80,3,8,2016,8449,Daily,4,5455,95,10,5,14,National,RFID
Infosys,Europe,Greece,HR,Service Desk,100k,71,19,12,2017,4673,Weekly,11,1224,85,10,15,19,International,GPS Tracking
Genpact,APAC,Tunisia,IT & Infrastructure,Applications Development,100k,85,4,1,2014,4571,Daily,2,7719,98,10,2,21,International,RFID
Infosys,APAC,Cameroon,Consulting,Mainframe services,150k,73,29,39,2014,6111,Weekly,12,9533,67,6,20,35,International,Blockchain
Genpact,APAC,Indonesia,HR,Service Desk,100k,94,16,28,2017,2983,Weekly,8,9372,78,7,20,23,Local,GPS Tracking
IBM,APAC,Afghanistan,Consulting,Mainframe services,150k,96,30,31,2018,2729,Monthly,16,7202,70,7,20,14,National,Blockchain
IBM,Europe,Madagascar,HR,Service Desk,100k,94,21,15,2018,8616,Monthly,7,7236,83,10,17,23,International,GPS Tracking
Genpact,North America,Guernsey,HR,Mainframe services,150k,89,21,28,2018,6511,Weekly,13,570,76,7,20,26,National,Blockchain
IBM,North America,Rwanda,HR,Mainframe services,150k,92,23,31,2017,1166,Daily,17,8564,74,7,20,20,Local,Blockchain
Genpact,Europe,Solomon Islands,Consulting,Applications Development,100k,90,8,9,2018,8342,Daily,4,382,92,10,8,24,Local,RFID
IBM,North America,Chad,HR,Mainframe services,150k,86,23,29,2017,7971,Daily,16,9117,75,7,20,33,National,Blockchain
Genpact,APAC,Vietnam,HR,Mainframe services,150k,76,24,29,2017,2958,Monthly,17,8879,74,7,20,20,International,Blockchain
IBM,APAC,Moldova,IT & Infrastructure,Applications Development & Maintenance,150k,79,17,18,2016,6912,Daily,6,3039,83,10,17,35,National,IoT Sensors
Infosys,Europe,Korea,Consulting,Applications Development,100k,92,3,5,2016,9042,Monthly,5,1780,97,10,3,12,Local,RFID
Infosys,North America,Israel,Consulting,Mainframe services,150k,73,27,30,2014,7565,Weekly,17,8156,72,7,20,17,Local,Blockchain
Genpact,APAC,Austria,HR,Applications Development,100k,94,10,5,2018,4697,Daily,2,8661,93,10,7,13,National,RFID
Infosys,Europe,Timor-Leste,HR,Service Desk,100k,73,24,23,2016,4457,Weekly,9,4435,77,7,20,16,International,GPS Tracking
Genpact,APAC,Turks and Caicos Islands,Consulting,Applications Development,100k,84,3,9,2018,5771,Daily,2,634,95,10,5,13,Local,RFID
Genpact,North America,Ireland,HR,Mainframe services,150k,88,27,22,2016,7965,Monthly,14,1980,76,7,20,33,International,Blockchain
Infosys,APAC,Belize,Consulting,Applications Development & Maintenance,150k,89,14,14,2017,8195,Monthly,6,2137,86,10,14,14,National,IoT Sensors
Capgemini,North America,Belize,IT & Infrastructure,Mainframe services,150k,89,24,36,2014,8078,Monthly,16,5380,70,7,20,29,International,Blockchain
Infosys,Europe,Zimbabwe,Consulting,Mainframe services,150k,88,23,50,2014,3870,Daily,11,7808,64,6,20,33,International,Blockchain
Capgemini,APAC,Samoa,Consulting,Service Desk,100k,81,24,23,2018,6460,Weekly,7,5360,77,7,20,22,International,GPS Tracking
Capgemini,Europe,Barbados,IT & Infrastructure,Applications Development,100k,84,7,8,2014,6153,Daily,3,4235,93,10,7,16,National,RFID
Capgemini,APAC,India,IT & Infrastructure,Applications Development,100k,86,1,9,2017,9167,Weekly,5,7342,96,10,4,19,Local,RFID
Capgemini,APAC,Guinea,IT & Infrastructure,Applications Development & Maintenance,150k,90,12,19,2016,3594,Weekly,9,5191,85,10,15,26,International,IoT Sensors
Capgemini,APAC,Cambodia,HR,Applications Development,100k,96,2,4,2016,9165,Monthly,4,4881,97,10,3,13,International,RFID
Genpact,North America,Netherlands Antilles,IT & Infrastructure,Mainframe services,150k,99,27,27,2016,2143,Weekly,17,4626,74,7,20,26,National,Blockchain
IBM,Europe,Mongolia,HR,Mainframe services,150k,91,20,29,2018,3434,Monthly,14,7416,76,7,20,35,International,Blockchain
Capgemini,North America,Belize,IT & Infrastructure,Service Desk,100k,92,23,27,2016,7274,Weekly,10,3926,76,7,20,18,National,GPS Tracking
Genpact,North America,Libyan Arab Jamahiriya,IT & Infrastructure,Applications Development,100k,74,7,7,2017,2644,Weekly,4,7313,94,10,6,22,Local,RFID
Infosys,North America,Austria,Consulting,Service Desk,100k,80,21,30,2018,2315,Daily,7,5483,75,7,20,14,International,GPS Tracking
Infosys,APAC,Peru,HR,Service Desk,100k,91,22,27,2017,4727,Weekly,15,1580,76,7,20,12,National,GPS Tracking
IBM,APAC,Thailand,IT & Infrastructure,Applications Development,100k,80,8,3,2014,5806,Monthly,1,5973,95,10,5,23,National,RFID
Genpact,APAC,Kyrgyz Republic,IT & Infrastructure,Service Desk,100k,72,23,23,2018,4945,Daily,8,8253,78,7,20,21,International,GPS Tracking
IBM,Europe,Slovenia,IT & Infrastructure,Applications Development & Maintenance,150k,98,20,18,2018,5712,Daily,8,9055,81,9,19,26,Local,IoT Sensors
Capgemini,Europe,Ethiopia,Consulting,Applications Development,100k,84,10,5,2017,4263,Weekly,3,6402,93,10,7,22,National,RFID
IBM,Europe,Comoros,Consulting,Applications Development,100k,70,10,6,2018,5497,Daily,4,232,92,10,8,21,International,RFID
IBM,APAC,Saint Martin,HR,Applications Development,100k,76,5,4,2017,3240,Monthly,4,1691,96,10,4,21,International,RFID
Genpact,APAC,Pakistan,Consulting,Applications Development,100k,80,1,10,2018,3877,Weekly,4,3389,95,10,5,17,Local,RFID
IBM,North America,Cuba,Consulting,Mainframe services,150k,93,24,46,2017,2886,Monthly,18,7773,65,6,20,17,Local,Blockchain
IBM,APAC,Yemen,Consulting,Applications Development & Maintenance,150k,70,20,22,2017,9791,Daily,10,2124,79,7,20,29,National,IoT Sensors
IBM,APAC,Nauru,HR,Mainframe services,150k,77,24,38,2018,1410,Monthly,20,9298,69,6,20,24,National,Blockchain
IBM,Europe,Rwanda,Consulting,Applications Development & Maintenance,150k,73,20,24,2016,1742,Monthly,5,709,78,7,20,34,National,IoT Sensors
Capgemini,North America,Kiribati,Consulting,Service Desk,100k,91,18,27,2018,3531,Daily,6,6897,78,7,20,14,International,GPS Tracking
IBM,APAC,Ethiopia,Consulting,Applications Development,100k,84,7,5,2016,6942,Weekly,5,1727,95,10,5,12,International,RFID
IBM,APAC,Malaysia,IT & Infrastructure,Mainframe services,150k,100,25,21,2018,2501,Monthly,20,3575,78,7,20,24,International,Blockchain
Genpact,APAC,Cape Verde,HR,Applications Development,100k,76,4,3,2016,4817,Daily,3,5483,97,10,3,24,Local,RFID
Genpact,APAC,Trinidad and Tobago,HR,Applications Development,100k,97,3,9,2014,3159,Weekly,2,343,95,10,5,16,National,RFID
Infosys,APAC,United States Minor Outlying Islands,HR,Applications Development & Maintenance,150k,83,10,15,2014,2041,Monthly,7,7902,88,10,12,20,National,IoT Sensors
Genpact,Europe,Latvia,IT & Infrastructure,Mainframe services,150k,93,21,34,2017,8504,Monthly,19,610,73,7,20,28,Local,Blockchain
Capgemini,APAC,Egypt,IT & Infrastructure,Service Desk,100k,80,25,13,2016,2076,Weekly,11,2167,82,9,18,19,National,GPS Tracking
Capgemini,APAC,Gabon,HR,Mainframe services,150k,73,28,29,2016,8046,Weekly,19,7498,72,7,20,26,Local,Blockchain
Infosys,North America,Iran,Consulting,Service Desk,100k,80,21,23,2017,7132,Weekly,12,2600,79,7,20,23,International,GPS Tracking
Infosys,Europe,Bouvet Island (Bouvetoya),HR,Service Desk,100k,81,16,12,2016,1982,Daily,6,9708,86,10,14,18,International,GPS Tracking
Capgemini,Europe,Albania,IT & Infrastructure,Mainframe services,150k,100,26,31,2017,6119,Monthly,11,5861,72,7,20,33,Local,Blockchain
IBM,Europe,China,Consulting,Applications Development & Maintenance,150k,73,17,17,2017,4705,Daily,10,7130,84,10,16,15,International,IoT Sensors
IBM,North America,Russian Federation,Consulting,Applications Development,100k,70,1,3,2016,3347,Monthly,3,9378,99,10,1,16,International,RFID
Genpact,North America,Estonia,Consulting,Service Desk,100k,84,25,10,2017,3578,Daily,7,6162,83,10,17,13,National,GPS Tracking
Genpact,APAC,Mayotte,HR,Mainframe services,150k,71,21,48,2014,5458,Monthly,19,7359,66,6,20,13,International,Blockchain
Genpact,Europe,Singapore,IT & Infrastructure,Service Desk,100k,81,22,23,2018,2816,Weekly,14,4740,78,7,20,16,International,GPS Tracking
Capgemini,Europe,Albania,IT & Infrastructure,Service Desk,100k,70,19,11,2016,5938,Monthly,15,3560,86,10,14,15,Local,GPS Tracking
Capgemini,APAC,Tajikistan,IT & Infrastructure,Mainframe services,150k,82,21,20,2016,9196,Weekly,15,9254,80,8,20,27,International,Blockchain
Capgemini,APAC,Qatar,Consulting,Mainframe services,150k,88,20,33,2018,7626,Daily,16,6943,74,7,20,12,National,Blockchain
Capgemini,Europe,Chad,Consulting,Applications Development,100k,72,6,3,2018,2734,Weekly,1,4086,96,10,4,24,National,RFID
IBM,APAC,Congo,Consulting,Service Desk,100k,94,21,19,2016,2251,Monthly,6,8463,81,9,19,23,International,GPS Tracking
Genpact,APAC,Iran,IT & Infrastructure,Applications Development,100k,74,4,6,2017,4232,Monthly,5,2942,95,10,5,17,International,RFID
Capgemini,Europe,Bolivia,HR,Applications Development & Maintenance,150k,84,12,30,2017,6179,Monthly,5,2573,79,7,20,27,National,IoT Sensors
Infosys,North America,Armenia,HR,Applications Development,100k,72,5,5,2017,8565,Weekly,4,7504,96,10,4,21,Local,RFID
Capgemini,North America,Russian Federation,HR,Applications Development,100k,87,2,2,2014,8368,Weekly,3,9466,98,10,2,21,International,RFID
Infosys,North America,Mozambique,IT & Infrastructure,Applications Development & Maintenance,150k,95,17,26,2017,2381,Weekly,9,8366,79,7,20,16,International,IoT Sensors
Genpact,North America,Seychelles,Consulting,Applications Development & Maintenance,150k,99,17,24,2017,7347,Daily,6,6797,80,8,20,28,National,IoT Sensors
Capgemini,North America,Ecuador,Consulting,Applications Development,100k,93,2,6,2016,6461,Monthly,3,1435,96,10,4,13,International,RFID
Infosys,North America,Niue,HR,Applications Development & Maintenance,150k,82,20,22,2017,3093,Weekly,7,8724,79,7,20,16,Local,IoT Sensors
Genpact,APAC,Cocos (Keeling) Islands,Consulting,Service Desk,100k,100,15,21,2018,4145,Monthly,10,3811,83,10,17,16,Local,GPS Tracking
Infosys,Europe,United Arab Emirates,Consulting,Applications Development & Maintenance,150k,98,11,26,2016,7172,Daily,7,2627,82,9,18,36,Local,IoT Sensors
Capgemini,North America,Nauru,HR,Applications Development & Maintenance,150k,93,12,24,2016,8277,Monthly,9,4768,82,9,18,13,International,IoT Sensors
Capgemini,APAC,Bahamas,Consulting,Service Desk,100k,91,18,19,2018,8564,Daily,13,4716,82,9,18,24,National,GPS Tracking
Infosys,Europe,Saint Helena,Consulting,Service Desk,100k,97,24,14,2017,2680,Daily,8,8552,81,9,19,16,Local,GPS Tracking
Genpact,North America,Bahrain,IT & Infrastructure,Mainframe services,150k,100,24,34,2016,8391,Daily,12,5827,71,7,20,28,Local,Blockchain
Capgemini,APAC,Seychelles,Consulting,Service Desk,100k,77,23,21,2014,6221,Daily,11,1723,79,7,20,15,International,GPS Tracking
Genpact,Europe,Burkina Faso,Consulting,Mainframe services,150k,84,20,29,2014,2298,Daily,12,411,76,7,20,27,National,Blockchain
Infosys,North America,Lebanon,IT & Infrastructure,Applications Development & Maintenance,150k,79,19,26,2014,1782,Daily,9,4006,78,7,20,25,National,IoT Sensors
Infosys,Europe,Eritrea,HR,Service Desk,100k,88,22,29,2016,3352,Daily,6,4872,75,7,20,20,National,GPS Tracking
Genpact,Europe,Monaco,HR,Applications Development,100k,72,4,10,2017,2108,Monthly,3,8718,93,10,7,18,International,RFID
IBM,Europe,Senegal,IT & Infrastructure,Applications Development,100k,81,1,7,2014,6649,Weekly,4,4050,97,10,3,17,International,RFID
IBM,Europe,Turks and Caicos Islands,IT & Infrastructure,Applications Development,100k,96,3,1,2018,8840,Monthly,3,3086,99,10,1,17,Local,RFID
Infosys,APAC,Marshall Islands,IT & Infrastructure,Applications Development,100k,80,1,5,2017,9444,Monthly,4,6624,98,10,2,15,International,RFID
IBM,APAC,Turkmenistan,HR,Service Desk,100k,80,25,16,2017,3039,Weekly,5,6129,80,8,20,16,National,GPS Tracking
Capgemini,Europe,Wallis and Futuna,Consulting,Service Desk,100k,81,21,20,2017,2353,Monthly,12,7055,80,8,20,14,Local,GPS Tracking
Infosys,APAC,Armenia,Consulting,Service Desk,100k,91,23,19,2017,6021,Monthly,7,7405,80,8,20,17,International,GPS Tracking
IBM,Europe,Liberia,Consulting,Service Desk,100k,78,20,24,2014,2229,Daily,12,6755,78,7,20,12,National,GPS Tracking
Genpact,APAC,Kenya,IT & Infrastructure,Applications Development & Maintenance,150k,94,19,24,2017,6933,Daily,6,6372,79,7,20,13,International,IoT Sensors
Capgemini,APAC,Turks and Caicos Islands,HR,Applications Development,100k,74,8,6,2017,7521,Monthly,2,5250,93,10,7,17,International,RFID
Capgemini,Europe,Norway,Consulting,Mainframe services,150k,99,20,43,2014,5288,Daily,11,4364,69,6,20,17,International,Blockchain
Infosys,APAC,Norway,IT & Infrastructure,Service Desk,100k,84,19,25,2016,8292,Daily,14,1538,79,7,20,15,International,GPS Tracking
IBM,North America,Portugal,IT & Infrastructure,Mainframe services,150k,92,21,37,2016,6922,Monthly,15,8435,72,7,20,29,Local,Blockchain
IBM,Europe,Micronesia,HR,Applications Development,100k,81,4,8,2018,3126,Daily,2,1512,94,10,6,12,Local,RFID
Capgemini,Europe,United Arab Emirates,IT & Infrastructure,Mainframe services,150k,74,28,33,2017,2215,Weekly,17,7472,70,7,20,36,National,Blockchain
Genpact,North America,United States of America,HR,Mainframe services,150k,99,30,38,2014,3034,Daily,18,8588,66,6,20,17,Local,Blockchain
Genpact,North America,Haiti,HR,Mainframe services,150k,98,25,49,2017,2292,Daily,12,4205,64,6,20,34,Local,Blockchain
Infosys,Europe,Ethiopia,HR,Mainframe services,150k,75,24,39,2016,3804,Daily,20,5631,69,6,20,29,International,Blockchain
Genpact,Europe,Falkland Islands (Malvinas),Consulting,Applications Development,100k,89,1,10,2014,9159,Daily,1,9038,95,10,5,16,National,RFID
Capgemini,APAC,Burkina Faso,HR,Mainframe services,150k,71,30,32,2016,8202,Weekly,13,6909,69,6,20,21,National,Blockchain
IBM,Europe,Somalia,Consulting,Service Desk,100k,82,24,14,2016,7070,Daily,10,8537,81,9,19,17,International,GPS Tracking
Capgemini,APAC,Portugal,IT & Infrastructure,Applications Development,100k,73,8,2,2014,5754,Weekly,2,6393,95,10,5,16,International,RFID
IBM,APAC,Ethiopia,IT & Infrastructure,Service Desk,100k,85,20,28,2018,9171,Daily,7,5155,76,7,20,23,National,GPS Tracking
Genpact,Europe,Vanuatu,Consulting,Applications Development,100k,71,9,8,2014,5609,Daily,4,8208,92,10,8,15,International,RFID
Genpact,North America,Central African Republic,HR,Service Desk,100k,81,15,13,2018,6995,Weekly,13,841,87,10,13,18,National,GPS Tracking
IBM,APAC,Isle of Man,Consulting,Applications Development,100k,86,4,6,2018,5582,Monthly,5,2046,95,10,5,20,Local,RFID
Genpact,APAC,Gabon,HR,Applications Development,100k,86,6,9,2018,9193,Weekly,3,759,93,10,7,17,Local,RFID
Genpact,Europe,Mozambique,HR,Applications Development,100k,74,8,9,2017,6218,Daily,3,2762,92,10,8,19,National,RFID
Capgemini,Europe,Macao,HR,Mainframe services,150k,79,28,46,2018,1272,Monthly,15,6135,63,6,20,28,National,Blockchain
Capgemini,North America,Nigeria,HR,Applications Development,100k,95,5,1,2016,1841,Weekly,5,9660,98,10,2,21,National,RFID
Genpact,APAC,Mongolia,HR,Applications Development & Maintenance,150k,100,19,22,2014,4125,Monthly,10,410,80,8,20,16,National,IoT Sensors
Capgemini,Europe,Brunei Darussalam,HR,Mainframe services,150k,99,26,42,2018,2020,Weekly,12,2362,66,6,20,18,International,Blockchain
Capgemini,North America,Ukraine,IT & Infrastructure,Applications Development & Maintenance,150k,84,20,25,2017,9950,Monthly,7,5904,78,7,20,28,International,IoT Sensors
IBM,Europe,Dominican Republic,Consulting,Mainframe services,150k,77,23,50,2017,5735,Monthly,17,3496,64,6,20,19,International,Blockchain
IBM,North America,Benin,IT & Infrastructure,Service Desk,100k,88,20,27,2018,7464,Weekly,12,5754,77,7,20,24,Local,GPS Tracking
IBM,Europe,Ireland,Consulting,Mainframe services,150k,76,21,31,2016,9824,Daily,14,4542,75,7,20,26,International,Blockchain
Genpact,APAC,Saint Barthelemy,IT & Infrastructure,Mainframe services,150k,91,29,43,2016,4814,Daily,11,960,65,6,20,30,Local,Blockchain
Genpact,North America,Singapore,HR,Service Desk,100k,99,16,14,2018,8822,Weekly,12,3367,85,10,15,12,National,GPS Tracking
Infosys,Europe,Oman,HR,Mainframe services,150k,77,20,49,2014,3868,Weekly,20,6946,66,6,20,36,Local,Blockchain
Infosys,North America,Sierra Leone,HR,Applications Development,100k,89,3,5,2014,6489,Weekly,4,4762,97,10,3,12,National,RFID
Infosys,North America,Montenegro,IT & Infrastructure,Service Desk,100k,93,22,18,2018,5215,Daily,13,3150,80,8,20,15,Local,GPS Tracking
Genpact,Europe,Monaco,HR,Mainframe services,150k,98,30,44,2018,8007,Weekly,19,8542,63,6,20,18,National,Blockchain
IBM,APAC,Antarctica (the territory South of 60 deg S),IT & Infrastructure,Applications Development,100k,78,3,3,2018,4858,Weekly,1,7419,98,10,2,19,National,RFID
IBM,Europe,Aruba,IT & Infrastructure,Mainframe services,150k,71,29,20,2014,8625,Weekly,19,5126,76,7,20,20,Local,Blockchain
IBM,North America,Zimbabwe,HR,Service Desk,100k,77,19,13,2016,3188,Monthly,13,7934,85,10,15,22,Local,GPS Tracking
Capgemini,Europe,El Salvador,HR,Service Desk,100k,96,20,23,2016,5054,Monthly,14,9861,79,7,20,23,Local,GPS Tracking
Infosys,Europe,Central African Republic,HR,Service Desk,100k,76,16,28,2016,3695,Monthly,10,5475,78,7,20,13,International,GPS Tracking
Infosys,Europe,Armenia,Consulting,Service Desk,100k,95,18,28,2014,8429,Daily,15,2261,77,7,20,19,International,GPS Tracking
IBM,Europe,Pakistan,IT & Infrastructure,Service Desk,100k,82,15,27,2017,1049,Weekly,14,3670,80,8,20,19,International,GPS Tracking
Infosys,APAC,Wallis and Futuna,Consulting,Applications Development,100k,71,6,2,2017,7698,Daily,4,3048,96,10,4,20,Local,RFID
Infosys,Europe,Turkmenistan,HR,Service Desk,100k,97,22,22,2016,6697,Weekly,11,2043,78,7,20,18,Local,GPS Tracking
Infosys,North America,Brunei Darussalam,Consulting,Service Desk,100k,91,18,10,2018,9715,Monthly,7,6314,86,10,14,24,Local,GPS Tracking
Infosys,APAC,Ireland,HR,Applications Development & Maintenance,150k,83,12,18,2014,4943,Weekly,7,3476,85,10,15,18,Local,IoT Sensors
Infosys,APAC,Barbados,HR,Applications Development,100k,71,8,10,2018,8191,Monthly,1,3939,91,10,9,22,International,RFID
IBM,Europe,Bangladesh,HR,Applications Development & Maintenance,150k,94,18,19,2017,4881,Daily,6,5044,82,9,18,19,Local,IoT Sensors
Genpact,Europe,Bulgaria,HR,Applications Development & Maintenance,150k,83,14,11,2018,1768,Weekly,7,5742,88,10,12,29,International,IoT Sensors
IBM,North America,Heard Island and McDonald Islands,IT & Infrastructure,Service Desk,100k,94,21,23,2018,4948,Monthly,10,3792,79,7,20,14,National,GPS Tracking
Genpact,North America,French Guiana,IT & Infrastructure,Applications Development & Maintenance,150k,78,18,23,2016,6411,Weekly,5,1395,80,8,20,25,National,IoT Sensors
Capgemini,Europe,Azerbaijan,HR,Mainframe services,150k,89,23,21,2014,2192,Daily,18,3182,79,7,20,20,International,Blockchain
Genpact,APAC,Saint Vincent and the Grenadines,HR,Applications Development & Maintenance,150k,73,15,19,2018,4974,Weekly,6,3450,84,10,16,12,National,IoT Sensors
IBM,North America,Argentina,Consulting,Applications Development & Maintenance,150k,81,14,22,2018,8635,Monthly,7,1715,82,9,18,26,International,IoT Sensors
Infosys,Europe,Myanmar,IT & Infrastructure,Service Desk,100k,93,20,20,2016,1265,Weekly,8,4372,80,8,20,18,International,GPS Tracking
Capgemini,Europe,Cameroon,IT & Infrastructure,Service Desk,100k,85,18,20,2017,5216,Weekly,7,8105,81,9,19,15,International,GPS Tracking
Capgemini,APAC,Israel,HR,Service Desk,100k,90,20,15,2014,9584,Weekly,7,654,83,10,17,14,Local,GPS Tracking
Genpact,APAC,Thailand,IT & Infrastructure,Applications Development,100k,86,3,4,2018,7114,Daily,4,1090,97,10,3,13,International,RFID
Capgemini,APAC,Anguilla,IT & Infrastructure,Service Desk,100k,86,15,10,2017,9777,Monthly,12,4797,88,10,12,20,Local,GPS Tracking
Genpact,APAC,Malta,HR,Service Desk,100k,86,16,26,2017,6807,Daily,6,4479,79,7,20,14,National,GPS Tracking
